Entity,Code,Date,willingness_covid_vaccinate_this_week
Australia,AUS,2020-11-30,54.5
Australia,AUS,2020-12-31,50.3
Canada,CAN,2020-11-30,44.4
Canada,CAN,2020-12-31,48.9
Denmark,DNK,2020-11-30,53.8
Denmark,DNK,2020-12-31,53.1
Denmark,DNK,2021-01-14,66.2
Finland,FIN,2020-11-30,36.7
Finland,FIN,2020-12-31,44.5
Finland,FIN,2021-01-14,58.4
France,FRA,2020-11-30,24.7
France,FRA,2020-12-31,19.9
France,FRA,2021-01-14,29.8
Germany,DEU,2020-11-30,39.9
Germany,DEU,2020-12-31,41
Italy,ITA,2020-11-30,40.4
Italy,ITA,2020-12-31,39.4
Italy,ITA,2021-01-14,55
Japan,JPN,2020-11-30,39
Japan,JPN,2021-01-14,36.7
Netherlands,NLD,2020-11-30,45
Netherlands,NLD,2020-12-31,51.6
Norway,NOR,2020-11-30,42.2
Norway,NOR,2020-12-31,45.7
Norway,NOR,2021-01-14,55.1
Singapore,SGP,2020-11-30,35.5
Singapore,SGP,2020-12-31,31.1
Singapore,SGP,2021-01-14,34.6
Spain,ESP,2020-11-30,28.2
Spain,ESP,2020-12-31,39.9
Spain,ESP,2021-01-14,51.8
Sweden,SWE,2020-11-30,34.6
Sweden,SWE,2020-12-31,43
Sweden,SWE,2021-01-14,56.6
United Kingdom,GBR,2020-11-30,54.2
United Kingdom,GBR,2020-12-31,71.3
